Title,Company Name,Promotion Text,Location,Experience Required
Senior System Engineer / Assistant Manager - Core Network,Smart Communications,N/A,Mohammadpur,At least 2 year(s)
Asst. IT Manager & IT Executive,Shimanto Sommelon Kendro Urmee.,N/A,Cox's Bazar,At least 3 year(s)
Junior Executive / Public Relation Assistant,BENLI ELECTRONIC ENTERPRISE CO. LTD.,N/A,Gazipur,At most 2 year(s)
Sr. Officer (Full-Stack Software Development),METL,N/A,PanthaPath,At least 3 year(s)
Video Editor Cum Videographer,Digital Kuli,N/A,Uttara Sector 7,1 to 5 year(s)
Jr. Officer (IT Support ),METL,N/A,PanthaPath,At least 1 year(s)
Center in Charge - After Sales Service Operation,1000FIX Services Ltd.,N/A,Anywhere in Bangladesh,At least 3 year(s)
Sr. Officer (Lead Flutter Development),Mojaru Education & Technologies Limited.,N/A,PanthaPath,At least 2 year(s)
Manager / Deputy Manager Business Development (Software & ERP),Creatrix Soft Tech Ltd.,Strategic thinking and problem-solving abilities.Proficiency in CRM software and sales management tools.Knowledge of market research and analysis techniques.Ability to build and maintain long-term client relationships.Self-motivated and results-driven.,Dhaka,At least 2 year(s)
IT Associate,Catalyst Solutions,N/A,"Chattogram Sadar, DOHS Baridhara",At least 2 year(s)
Data Artist (Associate) (Morning & Afternoon Shift),Catalyst Solutions,"Catalyst Solutions stands at the forefront of data analytics, forging extensive collaborations with the invaluable data of Fortune 500 companies. Embark with us and experience the exhilarating journey into the dynamic realm of data-driven revolution.",DOHS Baridhara,Na
"Full Stack Developer (Node.js, React)",Icicle Corporation,N/A,Anywhere in Bangladesh,3 to 5 year(s)
Laravel Developer (Internship),Bangladeshi Software,N/A,Dinajpur Sadar,Na
Creative Content Writer,Retouching Zone,N/A,Dhaka,2 to 6 year(s)
CRM Developer,Pixable Limited,"Join a dynamic team with a collaborative culture, offering ample growth opportunities, continuous learning, and a supportive environment. We provide competitive benefits, flexible working options and career advancement.",Dhaka,At least 5 year(s)
Junior WordPress Developer,Pixable Limited,"Join a dynamic team with a collaborative culture, offering ample growth opportunities, continuous learning, and a supportive environment. We provide competitive benefits, flexible working options and career advancement.",Dhaka,At least 2 year(s)
Backend/Sr. Backend Engineer (PHP/Laravel),Adventure Dhaka Limited,"You can work in Japanese based multinational company with 100 talented employees.You may have opportunity work with Japanese, Indian and other foreigners.","Dhaka, Banani",At least 2 year(s)
Senior PHP Developer (Magento + Laravel),SA Technology,"SA Technology specializes in ERP systems, eCommerce solutions, and cloud-based sales and inventory systems. They seek PHP full-stack developers to work for a Sydney-based company to manage custom eCommerce systems.",Pabna Sadar,4 to 5 year(s)
Jr. Support Service Engineer,Computer On Live,N/A,Anywhere in Bangladesh,Na
Full-Stack Software Engineer (Entry-Level),SkanRide AB,N/A,Anywhere in Bangladesh,1 to 3 year(s)
Generative AI & Machine Learning Engineer,TULIPTECH LTD.,N/A,"Badda, Sitakunda",3 to 5 year(s)
Sr. Officer/ Executive - Information Technology,Agora Limited,N/A,Dhaka,At least 4 year(s)
"Senior Consultant, Business Development",FSN Solution Limited,N/A,Dhaka,15 to 30 year(s)
IT Sales Executive,Eclipse Intellitech Limited,N/A,Rampura,2 to 3 year(s)
IT Instructor,Human And Nature Development Society (HANDS).,N/A,Tangail,Na
Mid-level .NET Developer,Computer Ease Limited,You will be joining a team consisting of a blend of experience and fresh minds involved in developing and servicing a product that is running with more than 20 clients. This is a golden opportunity to learn business programming at its peak.,Dhaka,2 to 4 year(s)
IT Trainer/ Mentor,Pentanik IT Solution Park,N/A,Anywhere in Bangladesh,At least 3 year(s)
Executive,Karnaphuli Group,N/A,Dhaka,At most 3 year(s)
Software Developer (Laravel/CodeIgniter),MicroMac Techno Valley Ltd.,N/A,Dhaka,1 to 5 year(s)
Engineer - IT Product Service,1000FIX Services Ltd.,N/A,Anywhere in Bangladesh,At least 1 year(s)
Assistant Manager - IT,Epic Group,N/A,Dhaka,5 to 6 year(s)
Manager/ Asst. Manager - Transmission,One Sky Communications Limited,N/A,Motijheel,3 to 7 year(s)
"Software Analyst/Senior Software Analyst, PHP",SSL Wireless,N/A,Dhaka,5 to 8 year(s)
PHP-Laravel Developer,Dynamicflow,"At Dynamicflow, we believe in fostering a supportive and inclusive workplace where every team member can thrive. If you`re passionate about web development and eager to grow your career, we would love to hear from you!",Mirpur,3 to 5 year(s)
Clinical AI Specialist,Augmedix,N/A,Dhaka,Na
Support Engineer,Digital Automation,N/A,Anywhere in Bangladesh,1 to 5 year(s)
Web Application Developer (Experienced),Trenza Softwares,N/A,Dhaka,At least 2 year(s)
Sr. Officer/ Officer (Frontend Development),Paragon Group,N/A,Dhaka,5 to 8 year(s)
Digital Marketing & SEO Expert,Sarkar Digital,N/A,Mohammadpur,1 to 3 year(s)
Intern - Software Sales and Marketing,Beatnik Technology Limited,N/A,DOHS Mohakhali,Na
Internet Service Provider Officer (WiFi Router),ASHBO COMMUNICATION WORLD,N/A,"Gulshan, Mirpur, Motijheel, Uttara",At least 1 year(s)
Digital Marketing Executive,Manamo Fashions,N/A,Mirpur 10,At least 3 year(s)
Executive/Sr. Executive- Technical Documentation,Synesis IT,N/A,Kawran Bazar,1 to 5 year(s)
Executive / Sr. Executive (Male),Octopi Communications Limited,N/A,Dhaka,At least 2 year(s)
Android Developer,Apprise IT,"We believe in team work, it is mandatory to have the ability to work in a team.It is always appreciated to bring new idea & thinking out of the box.",Gulshan,At least 4 year(s)
Frontend Developer (React.js),IDARE LTD,N/A,Banani,At least 3 year(s)
